X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
81.3335867980907,12.4088883392108,wind_209,6.5,173.36323686694269,-24.9,-332.07,0.86,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-175.711747447052
79.875260472521,11.2834570890784,wind_21,3.0,347.19496293198443,-9.47,332.87,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-1.62959929164019
81.2433004723482,12.391630172256,wind_210,6.7,172.37329730424884,-19.18,-332.45,0.71,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-176.698101292427
81.4238411238632,12.426110384076,wind_211,7.4,183.8155087184332,-85.75,-321.77,0.84,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-165.077781977802
80.2328594707732,12.2897682038274,wind_212,14.1,344.385772645892,-26.69,331.93,0.82,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-4.59717811896693
80.4132608288475,12.3248992764566,wind_213,7.9,296.92232254885664,-264.0,202.96,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-52.4473537714163
80.3230522578237,12.3073506855188,wind_214,9.3,324.058459982162,-142.12,301.15,0.84,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-25.2637628765692
80.142719261961,12.2721623041319,wind_215,8.800000000000002,182.60334043483968,-80.22,-323.19,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-166.060154968898
80.0527122092376,12.2545530034516,wind_216,4.5,315.76788657425334,-185.0,276.88,0.84,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-33.7492415842619
80.50348202578,12.3424194442916,wind_217,4.8,276.8830499497044,-317.12,101.6,0.94,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-72.2354012329541
80.5937120400737,12.359911474109,wind_218,3.9,237.6326916473096,-311.28,-118.29,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-110.807370033822
80.6839489263727,12.3773757541592,wind_219,14.2,225.02017218021751,-278.23,-182.97,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-123.329775484715
80.3241757941344,11.3723014079539,wind_22,4.7,330.0559106295294,-108.89,314.69,0.97,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-19.0868005773933
80.7742014011774,12.3948077504734,wind_220,5.3,215.803434287733,-245.29,-225.21,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-132.556213594049
80.8644643885281,12.4122059735587,wind_221,13.7,207.2378495239462,-208.7,-259.49,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-141.191326507665
80.9547400035005,12.4295760335002,wind_222,10.1,201.93980792327412,-183.47,-277.9,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-146.567147107019
81.1353225657217,12.4642315509661,wind_223,13.0,182.6744132268689,-79.58,-323.35,0.78,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-166.173662343952
81.2256291460411,12.4815104048006,wind_224,5.6,185.5270995826291,-95.74,-318.94,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-163.291197185601
